Issue Key|Summary|Issue Type|Status|Assignee|Reporter|Created|Updated|Priority|Description|Labels|Story Points|Sprint
ECOM-94521|Enhance microservice backend, optimize ordering component.|Story|In Progress|DEV-Marco|PO-Sergio|2024-01-07|2024-01-14|Low|Task to microservice backend, ordering component, and backend Java. Unique task identifier: 996a46a0-39a6-4625-a669-1c6c1c05fc6d.|functional, Del Piero|8|1
ECOM-50364|Enhance performance, optimize cart component.|Story|Done|DEV-Giulia|PO-Anna|2024-01-07|2024-01-14|Low|Task to performance, cart component, and DevOps activities. Unique task identifier: c3e05377-12c7-40ed-b5df-a1b7b01fb593.|functional, Del Piero|8|1
ECOM-92910|Enhance frontend Angular, optimize DevOps activities.|Bug|In Progress|DEV-Francesca|PO-Sergio|2024-01-07|2024-01-14|Medium|Task to frontend Angular, DevOps activities, and performance. Unique task identifier: 7ebae4f4-a218-4ab9-bde3-97a5bdd56a95.|technical, Del Piero|8|1
ECOM-42263|Enhance frontend Angular, optimize implementation.|Task|In Progress|DEV-Francesca|PO-Luca|2024-01-09|2024-01-16|Low|Task to frontend Angular, implementation, and performance. Unique task identifier: 1cee884e-8944-404b-823a-b134a5d97666.|technical, Del Piero|8|1
ECOM-99888|Enhance implementation, optimize performance.|Task|Done|DEV-Sergio|PO-Marco|2024-01-01|2024-01-02|High|Task to implementation, performance, and cart component. Unique task identifier: 1b9f1873-d3cf-497d-b40c-8731eb53d24d.|technical, Del Piero|1|1
ECOM-52996|Enhance frontend Angular, optimize DevOps activities.|Task|Open|DEV-Marco|PO-Sergio|2024-01-06|2024-01-09|Medium|Task to frontend Angular, DevOps activities, and cart component. Unique task identifier: ff5fbc52-b5e0-4d80-978e-3912fffb62e3.|functional, Del Piero|3|1
ECOM-44975|Enhance implementation, optimize DevOps activities.|Bug|In Progress|DEV-Anna|PO-Luca|2024-01-06|2024-01-11|Medium|Task to implementation, DevOps activities, and performance. Unique task identifier: 5dc4af5b-8914-4df5-8c08-43ce492b6b22.|functional, Del Piero|5|1
ECOM-03620|Enhance backend Java, optimize design.|Task|In Progress|DEV-Marco|PO-Marco|2024-01-02|2024-01-12|High|Task to backend Java, design, and ordering component. Unique task identifier: 7e0f7549-7b57-4b32-9828-19f3ca10d970.|functional, Del Piero|20|1
ECOM-83832|Enhance DevOps activities, optimize performance.|Task|In Progress|DEV-Sergio|PO-Anna|2024-01-01|2024-01-04|High|Task to DevOps activities, performance, and cart component. Unique task identifier: 798413a4-d86f-401a-a5cc-9e83ac49c759.|functional, Del Piero|3|1
ECOM-28507|Enhance microservice backend, optimize performance.|Story|In Progress|DEV-Marco|PO-Marco|2024-01-03|2024-01-06|High|Task to microservice backend, performance, and cart component. Unique task identifier: 1acc1bc5-6477-437a-96dd-5b5a48979a0c.|technical, Del Piero|3|1
